District,District Area,Grid Area,Grid Lat,Grid Lon,Percent contribution
PALAKKAD,4322.860055,41.120885,10.25,76.75,0.951242568
PATHANAMTHITTA,2611.723901,68.411897,9.5,76.5,2.619415359
PATHANAMTHITTA,2611.723901,256.828376,9.5,76.75,9.833672537
PATHANAMTHITTA,2611.723901,183.282871,9.5,77,7.017697044
PATHANAMTHITTA,2611.723901,112.84193,9.5,77.25,4.32059185
PATHANAMTHITTA,2611.723901,60.896024,9.25,76.5,2.331640951
PATHANAMTHITTA,2611.723901,667.467678,9.25,76.75,25.55659416
PATHANAMTHITTA,2611.723901,736.58757,9.25,77,28.20311786
PATHANAMTHITTA,2611.723901,377.776068,9.25,77.25,14.46462499
PATHANAMTHITTA,2611.723901,78.429222,9,76.75,3.002967579
PATHANAMTHITTA,2611.723901,21.654752,9,77,0.829136341
PATHANAMTHITTA,2611.723901,47.547513,9,77.25,1.820541328
THIRUVANANTHAPURAM,2071.165149,347.64029,8.75,76.75,16.7847692
THIRUVANANTHAPURAM,2071.165149,544.487414,8.75,77,26.28894245
THIRUVANANTHAPURAM,2071.165149,123.304396,8.75,77.25,5.953383102
THIRUVANANTHAPURAM,2071.165149,48.252337,8.5,76.75,2.329719435
THIRUVANANTHAPURAM,2071.165149,652.257864,8.5,77,31.49231554
THIRUVANANTHAPURAM,2071.165149,271.070138,8.5,77.25,13.08780896
THIRUVANANTHAPURAM,2071.165149,71.800993,8.25,77,3.466695692
THIRUVANANTHAPURAM,2071.165149,12.351717,8.25,77.25,0.596365626
THRISSUR,3002.587309,151.773073,10.75,76,5.054743039
THRISSUR,3002.587309,368.1791,10.75,76.25,12.26206142
THRISSUR,3002.587309,118.229686,10.75,76.5,3.93759361
THRISSUR,3002.587309,236.672288,10.5,76,7.882278303
THRISSUR,3002.587309,756.516683,10.5,76.25,25.19549326
THRISSUR,3002.587309,364.461036,10.5,76.5,12.13823275
THRISSUR,3002.587309,2.203167,10.5,76.75,0.073375618
THRISSUR,3002.587309,9.97673,10.25,76,0.332271104
THRISSUR,3002.587309,511.36299,10.25,76.25,17.03074507
THRISSUR,3002.587309,272.833037,10.25,76.5,9.086597954
THRISSUR,3002.587309,210.379519,10.25,76.75,7.00660788
WAYANAD,2060.268934,139.975289,12,76,6.794029978
WAYANAD,2060.268934,131.430603,11.75,75.75,6.379293539
WAYANAD,2060.268934,702.377292,11.75,76,34.09153438
WAYANAD,2060.268934,525.328948,11.75,76.25,25.49807646
WAYANAD,2060.268934,54.699305,11.75,76.5,2.654959462
WAYANAD,2060.268934,250.951588,11.5,76,12.18052575
WAYANAD,2060.268934,254.65397,11.5,76.25,12.36022957
WAYANAD,2060.268934,0.851939,11.5,76.5,0.041350864
