weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
2013-03-24,0.593956513064248,0.00169273063777,0,0.007219860064132,0,0,0,0.335736951657704,0.008628908438342,0,0.014070139399597,0,0.059396636486053,0,0.647683194705418,0,0.295768399323736,0.511753259386335,0,0.00379189742463,0,0,0.008051137439907,0,0.054613191102232,0.14273706362361,0,0.092705641474043,0.184059658220836,0,0,0.019475713372231,0.087259538826488,0,1.33580403100877,0,0,0
2013-03-31,0,0.01322357569422,0,0,0,0.073011185441698,0.142001682094165,0,0.052207687922886,0,0,0.127451038786343,0,0,0,0,0,0,0,0,0,0,0,0.017141002984274,0,0,0.033606335946492,0,0,0.054569536873272,0,0.021890320948192,0,0.099673717504456,0,0,0.053247153759003,0.032916935426848
2013-04-07,0,0,0.045690294887338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337364860943386,0,0,0,0,0,0,0,0,0,0,0.010824208458265,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-21,1.90260052947061,0.511659449764661,1.09400025276201,2.53883862708296,1.30025863647461,1.60429218979109,2.45105726484741,0.508494377136231,2.01141835536276,1.49359758943319,1.68375886577581,1.89570678699584,2.36496570450919,1.2674964517355,4.21722277998924,2.61881207568305,1.3857244817274,0.713237242826394,1.60400920254844,0.902549692562648,2.00423307823283,1.35373973136856,3.1297781084265,1.38159083397616,4.07883061000279,2.16408697905995,2.22036445353712,0.289781334144728,1.220995276102,1.57053941190243,2.35944337504251,1.20489842551095,1.68232720238822,1.33493082863944,2.97148598659606,0.643377665962492,1.45816482816424,1.81033890587943
2013-04-28,4.51890656032733,0.050182314973975,6.15751102992467,4.90505068642753,5.05177903033438,0.540151628709975,0.813231757708958,2.3092566047396,0.242540974276406,0.632594066006797,2.67901026776859,0.422130256536461,4.52192941818919,6.68616158621652,2.45917749777436,2.64113488651457,5.3122220369322,2.26290197904621,6.66912623814174,3.91443242345538,0.499179465430123,0.366648168790908,1.35169975885323,1.13128586610158,2.82976625135967,5.83616129983039,0.267479134244578,2.93571710586548,3.01905754634312,0.277407988905907,2.47611836024693,1.6169639314924,3.04381236575899,0.579440667515709,3.34761125133151,1.78487145049231,0.306263480867658,0.070455597979682
2013-05-05,0.055021858641079,0,0,0,0,0,0,0,0,0,0,0,0.028596545117242,0.007221708872489,0.064489935125623,0,0.092068524232933,0,0,0,0,0,0,0,0,0.121061712503433,0,0.010567999311856,0,0,0,0,0,0,0,0,0,0
2013-05-12,2.39090279170445,0,0.114133470824787,0,0.058479763212658,0,0,0,0,0.053276481372969,0,0,0.787797761176314,0,0.717264537300382,0,0.970405963382551,0.751689573696681,0,0,0,0,0.015427561742919,0,0.013136298315866,0.145738964989072,0,0.01902129820415,0,0,0,0,0,0.077250899303527,5.79108011154902,0,0,0
2013-05-19,10.7836466772216,0.070047093998818,3.22304776736668,1.72073718053954,3.39503272942134,0.572796310697283,0.10381320970399,3.77753027847835,0.130816380466734,0.699263724897589,1.56189443490335,0,5.42910465257508,3.2774732368333,11.2088934800455,0.766844186754454,7.31518649629184,5.11004518866539,2.78484535536596,0.82632980708565,0.019645817577839,0.068602467221873,2.07176710478961,0.329239669300261,2.39286516074623,7.59139562433674,0.117885962554387,6.22521466371559,2.46805472033364,0.418710732460022,0.72523421900613,0.552899786404201,1.17217998277573,0.038193140001524,10.4358788459074,0.545261169650725,0.557176010949271,0.405584062848772
2013-05-26,1.89320615359715,0.118677204326978,9.49744058081082,1.86332753726414,9.07501392563184,0.174806295406251,0,0.68477431631514,0.081171121128968,1.65476352881108,3.11900037793177,0,0.74208277293614,9.48692903454815,10.5465882101229,0.9206440278462,0.670263843876975,0.197433719464711,10.9159669088466,3.17759482136794,0.0833533427545,0.11121997662953,0.879674665629864,0.758047026892503,5.32133244914668,1.89190790199098,0,0.214903771877289,0.651252638016428,1.03822598542486,0.722610326749938,7.33616897038051,5.04916858673096,1.49364134527388,0.648507234596071,1.04536423832178,0,0
