,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
12,1979-04-01,22.516787,27.005928,25.839157,26.459484,25.976702,26.325964,26.985014,23.23988,27.020472,24.331938,25.904343,26.969297,25.507105,25.912365,24.221203,26.575426,23.681581,21.951107,25.893251,23.755539,25.822731,26.422735,25.21257,26.482698,23.247465,23.38974,27.227596,24.330217,24.684164,25.666035,26.841564,22.880835,22.193151,24.95738,21.911901,25.876059,25.530947,25.540503
13,1979-04-08,24.323988,29.073507,28.371473,28.644352,28.0021,28.518747,29.41528,25.185925,29.184216,27.702389,29.005592,29.811043,27.974194,27.721989,26.834152,28.250916,25.321266,23.925365,28.659594,26.323902,28.31009,28.488962,27.472626,28.789116,25.844296,25.752798,29.395746,25.742914,26.680172,28.410913,29.138353,25.715572,24.485382,28.312647,23.309252,28.32357,28.053463,28.046627
14,1979-04-15,53.464188,33.827946,51.151985,48.94832,53.461014,39.021587,37.654343,48.404533,34.70395,41.724236,45.511726,31.692205,57.324074,51.533596,55.852024,45.816345,52.17,48.168465,48.951565,44.70859,42.20826,39.70169,42.119663,44.369984,42.847973,55.431854,34.218727,50.99664,48.177937,42.894417,45.242756,44.15528,45.007446,41.674625,50.19467,45.26581,38.001472,39.26361
15,1979-04-22,67.413605,36.305653,53.719513,52.61968,59.044586,41.40931,40.51609,55.376183,35.777687,46.54809,45.91739,35.272976,67.25459,58.312546,69.87944,47.088512,62.99663,55.26195,52.30815,51.572414,42.923668,38.74934,48.34841,47.608273,49.38474,68.08097,37.71212,59.190674,53.477795,46.665176,46.024567,51.09551,51.73706,44.81407,61.888706,50.050743,39.973087,40.65968
16,1979-04-29,55.366905,31.828087,47.919365,45.993546,49.021473,38.395008,36.944023,46.826763,33.29458,40.892612,45.50942,30.588583,53.875145,48.272774,59.001774,44.29098,51.18612,47.66535,46.650253,43.745117,40.31337,38.694347,40.627846,42.730297,42.324745,54.443768,33.20881,49.389057,45.251255,42.251167,43.082554,43.12308,43.689972,40.558887,51.592484,43.555504,37.165215,38.00429
17,1979-05-06,69.09653,19.407707,41.09599,37.978855,48.339832,26.515686,24.340393,44.595062,19.76788,32.142097,30.898293,19.265978,65.82573,46.592556,73.396545,32.301983,59.108597,53.489136,37.510212,37.27636,29.522663,23.723648,39.77765,33.52515,38.734173,68.09972,20.792543,51.71588,38.968773,32.642265,31.664753,39.678913,43.72788,30.15629,63.5701,35.793278,24.62283,26.542543
18,1979-05-13,69.04333,31.11293,46.406906,49.971554,52.563618,39.8614,39.372257,54.23892,30.311981,43.49771,40.0663,31.838684,64.92926,54.859352,74.55523,42.795715,60.779415,56.063526,45.90466,48.5269,40.865665,34.554226,43.906708,45.116627,46.0836,67.93667,33.846546,57.84296,51.838478,44.983154,42.90616,48.5329,50.28418,43.223125,62.698666,47.358044,37.452126,38.85126
19,1979-05-20,50.978134,33.185623,34.622757,35.761898,36.351196,35.1347,36.901234,39.439316,32.12746,39.26256,32.87743,35.32268,43.184826,37.10202,61.010536,33.20825,41.806297,42.423077,34.319412,37.785126,32.790672,31.53807,44.726864,34.985798,39.60183,47.392933,34.465546,40.04102,37.45393,37.1587,33.21429,38.966175,39.60487,39.06992,47.34717,36.303856,33.442738,33.000217
20,1979-05-27,46.71568,27.899132,32.737946,34.42961,35.84616,31.509552,30.759132,34.928566,27.789541,31.262377,31.41559,28.656534,44.04104,35.97886,56.22046,32.866016,39.186153,36.809372,33.228474,32.584206,31.662521,29.870253,33.1437,33.189213,31.984955,45.40092,28.705227,36.9118,34.066696,32.29144,33.187004,32.667194,33.417427,31.586142,42.05601,33.47347,30.461002,30.559427
21,1979-06-03,30.161777,21.39424,20.33385,21.6404,22.03591,21.536398,21.929466,19.98007,20.792347,19.51624,20.410858,22.880812,27.453724,22.105316,41.04787,21.138239,24.365395,22.657965,20.836586,19.635082,20.615292,20.3236,21.274479,21.494568,19.625195,29.075228,22.181683,22.64131,20.641832,20.795158,21.51526,19.519445,19.529491,20.195114,27.517471,21.319042,21.060673,20.484781
