,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
12,1979-04-01,292.9275,291.69815,293.17755,292.77515,292.1062,292.09253,291.81714,292.22144,291.9312,293.16772,292.85107,291.76993,292.3863,292.7146,291.51343,291.7627,292.62378,291.82416,292.51843,292.6394,292.50854,292.2412,291.7588,292.28458,293.0816,292.7408,291.81128,292.64786,292.1975,292.34564,292.43262,293.08667,292.4708,292.864,292.7273,292.32837,292.12183,292.198
13,1979-04-08,294.7464,293.63916,293.42896,294.11853,293.61093,293.22836,293.12256,293.83496,293.45914,292.6931,292.53247,293.48474,293.88803,294.12427,293.63245,293.3505,293.8004,293.79346,292.88696,293.51593,293.93677,293.30435,291.88403,294.02798,292.91187,294.9012,293.21844,293.61417,293.73718,293.1954,293.6587,293.8396,293.42603,292.91733,293.8358,293.8861,293.56104,294.15796
14,1979-04-15,295.3247,294.47656,296.1502,296.46875,296.45215,295.89713,295.7129,296.78473,295.14536,296.17773,295.7942,295.7675,295.61328,296.80225,294.83057,295.68784,296.22943,296.3251,296.52112,297.2541,295.8037,296.0485,295.71118,295.89487,296.66464,295.45898,294.63007,296.4716,297.12616,296.17987,295.97168,297.1963,296.6774,295.81738,295.59668,297.00488,295.80078,295.77637
15,1979-04-22,293.55872,295.19955,294.57275,295.57227,294.8314,295.28662,295.29443,294.1753,294.57022,294.88928,294.39307,294.82162,294.04803,294.91113,293.2456,295.65854,294.10876,293.9422,294.86206,294.83105,295.54834,295.18832,294.36108,295.9357,294.85663,293.84717,295.10165,294.2806,294.92676,295.6928,295.021,294.7207,294.70444,294.63364,293.53647,295.529,294.96045,295.4585
16,1979-04-29,296.45148,295.30884,295.21838,297.84985,296.22208,295.22745,294.4651,297.7793,295.40106,297.3069,295.8069,296.16568,295.61005,297.19727,296.08472,296.3147,296.52142,297.37115,296.03638,298.12085,295.47583,295.20206,296.20898,297.06015,297.55884,295.785,295.0272,296.82486,298.2115,297.47015,296.07056,298.19165,297.719,297.2255,296.7041,297.81226,294.52954,295.16235
17,1979-05-06,295.44128,297.4144,296.333,297.37402,296.72006,297.48096,296.53687,296.42865,297.82266,296.4873,296.41553,296.63388,295.0478,296.9729,295.65332,297.46713,295.01288,295.25308,297.0713,297.2688,297.1162,298.03223,294.77432,296.96094,296.38397,294.68863,296.945,296.2212,297.1587,296.83145,297.4463,296.48193,295.7391,296.2814,294.7618,297.16663,297.91113,297.1416
18,1979-05-13,296.6599,298.50644,299.40314,298.4895,298.50195,297.99863,297.08032,298.4475,298.9383,297.37915,299.0146,297.88208,298.2688,298.68384,296.08423,298.13794,298.3152,298.31332,298.85022,297.0393,298.8385,299.5084,295.88818,297.94327,297.34146,297.3059,297.81488,298.358,297.86206,297.00943,299.136,297.69067,297.75058,296.84042,297.40366,297.886,298.41724,298.24146
19,1979-05-20,297.8152,299.5079,299.9773,299.2234,299.08145,298.90244,298.6267,298.68628,299.7281,298.08618,299.716,299.4908,297.72104,299.05444,296.9109,299.3842,298.0276,298.5433,299.71948,298.7483,299.32104,299.83536,297.32938,299.02222,298.23666,297.5958,299.2851,298.64136,299.1184,298.42886,299.48315,298.77808,298.81454,298.03003,298.1902,298.75366,299.1023,299.24487
20,1979-05-27,299.30853,299.69864,300.67358,301.20483,300.81567,299.93692,299.5896,300.7774,299.5338,299.98755,300.4278,298.90237,300.01758,300.85986,296.81738,300.39584,300.1714,299.46796,301.26086,300.59863,300.61462,300.13345,298.0663,300.61807,299.61517,299.85873,299.3934,300.55698,300.97308,300.34708,300.69336,300.25464,299.71484,299.91348,299.26895,300.77264,300.08862,300.4109
21,1979-06-03,297.76855,299.67627,300.2744,299.57568,299.85043,299.45166,298.94385,298.4502,299.7382,298.49414,300.33936,299.4458,298.91592,299.95166,297.22314,299.61475,298.66064,298.28076,300.36963,298.30225,300.0586,300.26904,296.50732,299.5454,297.42374,298.15054,299.42236,299.25864,298.98242,298.9577,299.78857,297.81787,297.75864,298.9585,298.51773,299.04932,299.81885,300.05322
22,1979-06-10,297.1599,300.36435,299.47827,299.74622,298.93106,299.67685,299.28003,299.26294,300.7032,298.29712,299.6941,300.22598,297.59406,299.0962,297.27283,299.62442,297.992,298.48544,299.67017,298.90015,300.70532,301.00204,297.94794,300.14462,298.8072,297.43546,299.63452,298.69214,299.31244,299.0224,300.17065,299.4978,299.52173,298.17554,297.48178,299.76404,299.86108,300.26733
23,1979-06-17,297.1626,300.44864,298.06274,299.3672,298.34927,300.48642,300.4762,298.75342,300.20505,299.4104,297.99146,299.9885,297.58926,298.79785,296.56836,298.84464,298.0044,297.8705,298.5066,299.48242,299.89673,299.48788,298.31006,300.1696,299.21347,297.46387,300.29086,298.4821,299.2417,300.21893,299.2473,299.19238,298.80502,299.40283,297.1722,299.75006,300.50464,300.5105
24,1979-06-24,297.76416,300.70914,300.6853,300.60815,299.76205,300.74585,300.59644,298.18256,301.1476,298.36597,300.49097,300.72803,298.83105,299.57788,297.97363,301.5887,298.14056,297.78012,300.96887,297.93726,301.44995,301.35587,298.84982,300.79044,297.77924,298.1403,300.77646,298.31412,299.10822,299.92065,302.0935,297.50854,297.65244,299.38126,297.75943,299.95483,300.98218,301.0349
25,1979-07-01,299.5642,298.9493,298.8059,299.64502,299.49228,299.32755,299.58142,299.56323,298.46442,299.86023,298.404,298.54102,299.5816,299.74377,299.50525,299.0956,299.6665,299.17798,299.2505,299.58893,299.11694,298.68628,299.4921,299.23892,299.62955,299.62134,299.26675,299.83447,299.5957,299.47885,299.3462,299.70483,299.05948,300.0026,299.66382,299.24268,299.1101,299.0066
26,1979-07-08,300.21167,300.44058,300.33643,301.6809,300.9227,301.13004,300.97412,300.4265,300.2829,300.94653,300.09863,300.89453,300.6024,301.22388,299.97876,301.24356,300.31763,300.35394,300.52002,300.6233,301.2876,301.34195,299.69604,301.53848,300.43365,300.20435,300.8802,300.71802,301.0852,301.33267,301.87622,300.552,300.25317,301.12247,300.23755,301.43317,300.89307,300.9673
27,1979-07-15,299.00647,299.05118,299.12103,299.35156,299.54117,299.43985,299.33862,299.01978,299.18063,299.203,298.52417,298.61826,299.5053,299.3955,298.95203,299.2538,299.20795,298.8471,299.1322,299.27515,299.37598,299.27686,298.6499,299.5192,299.05,299.23633,298.9267,299.29565,299.29395,299.3287,299.39746,299.03735,298.93555,299.28873,298.91397,299.4077,299.5244,299.43457
28,1979-07-22,297.85474,298.66708,298.1787,298.8152,298.72803,298.99683,298.99304,298.29858,298.19736,298.8346,297.93335,298.60757,298.57632,298.7849,298.10205,298.43823,298.2152,297.70612,298.38647,298.93384,298.7185,298.22144,298.5515,298.90567,298.71597,298.23203,298.97495,298.30753,298.75073,299.03864,298.9558,298.7351,298.54745,298.92197,297.75806,298.9933,298.80933,298.71167
